,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,make / manufacturer,model name / number,suspension,brake type,electric assist,handlebar type,paint color,part type,serial number,size / dimensions
30637,350.0,cleveland,https://cleveland.craigslist.org/bik/d/cleveland-1990-fuji-saratoga-21-speed/7470204944.html,2022-04-18 18:24,"1990 Fuji Saratoga 21 speed, 65 cm touring bike, made in Japan", steel, road," 65 cm (25"")", 700C,11,"Beautiful 1990 Fuji Saratoga touring bike, made in Japan. Ishiwata Si35 triple butted Cr-Mo tubing and Cr-Mo unicrown fork. 65 cm from center of crank to top of seat tube; 59 cm top tube, center to center. 21 speed Suntour XC Expert/XCM derailleurs with end-bar index shifters. Sakae XCE triple crank set 48/37/28 teeth. Dia-compe XCM cantilever brakes Alesa 700C rims with 700x28C Continental Ultra, good tires. The bike is clean, no rust. The paint is very nice, but there are a few small scratches. No damages, bents or dents at the frame or fork. One bottle cage and place for two more. Back rack. Price: 350$, call: 216 sevenzerofour 57sixsix. Please no emails.  Trades are OK. I'm interested in older bikes: 30's, 40's, 50's balloon tires bikes, working or not, complete or not, rusty or not. And I am interested in 60's, 70's, 80's, 90's road/ touring bikes. Let me know what do you have",,,,,,,,,,,
30638,150.0,cleveland,https://cleveland.craigslist.org/bik/d/cleveland-motobecane-mirage-sport-12/7470512732.html,2022-04-18 18:23,"Motobecane Mirage Sport, 12 speed, 64 cm road bike", steel, road," 64 cm (25"")", 27 in,8,"Good condition, the bike is tune-up and ready to ride. New bar tape and cables. 64 cm steel frame, large for a person over 6'. 12 speed Huret front derailleur and shifter, Suntour RT1000 rear derailleur. Weinmann brakes with quick release. Internal routing for the rear brake cable. Custom double crank set 52/40 teeth. 27 x 1 1/4"" WheelMaster alloy wheels, with very good tires. Both wheels have quick release. Bottle cage. Price: 150$, call: 216 sevenzerofour 57sixsix. Please no emails.  Trades are OK. I'm interested in older bikes: 30's, 40's, 50's balloon tires bikes, working or not, complete or not, rusty or not. And I am interested in 60's, 70's, 80's, 90's road/ touring bikes. Let me know what do you have",,,,,,,,,,,
30639,270.0,cleveland,https://cleveland.craigslist.org/bik/d/cleveland-early-70s-schwinn-sports/7470512855.html,2022-04-18 18:23,"Early 70's Schwinn Sports Tourer, 10 speed, 61 cm road bike", steel, road, 61 cm, 27 in,12,"Good condition, the bike is tune-up and ready to ride.  New tires, bar tape and cables. The frame and fork paint has a lot of scratches, but no dents, bents or other damages. 61 cm from center of crank to end of set tube; 57 cm from crank to top tube (C-C); 57 cm top tube (C-C). 10 speed Schwinn Le Tour Aproved rear derailleur and Schwinn Aproved front, stem shifter. Schwinn Aproved brakes. TA Specialites double crank set. 27 x 1 1/4"" Weinmann alloy wheels, with new tires. Both wheels have quick release. Hubs are marked Schwinn Aproved 2-72 front and 4-72 rear. Back Schwinn Aproved carrier. Brooks Champion B-15 leather saddle. Price: 270$, call: 216 sevenzerofour 57sixsix. Please no emails.  Trades are OK. I'm interested in older bikes: 30's, 40's, 50's balloon tires bikes, working or not, complete or not, rusty or not. And I am interested in 60's, 70's, 80's, 90's road/ touring bikes. Let me know what do you have",,,,,,,,,,,
30640,130.0,cleveland,https://cleveland.craigslist.org/bik/d/lakewood-mountain-bike-26-inch/7472910617.html,2022-04-18 17:17,"Mountain Bike, 26-inch", steel, mountain, 66.81 x 25.94 x 41.27, 26 in,4,"This is the bike model https://www.walmart.com/ip/Schwinn-Sidewinder-Mountain-Bike-26-inch-wheels-black-green/857861835  26-inch wheels  Steel mountain-style frame and front suspension fork provide a durable, reliable ride. 21-speed trigger shifters make it easy to adapt to your terrain. Front disc brake and rear linear pull brake combine to deliver reliable all-condition stopping. Light and strong alloy rims add durability without weighing you down. Alloy mountain crank means less pesky maintenance on your end. Tool-free adjustable seat post makes it easy to find a comfortable fit.   I have two bikes, one for $130 and the two for $250.", excellent, Schwinn, Sidewinder, suspension fork (hardtail), disc (mechanical),,,,,,
30641,175.0,cleveland,https://cleveland.craigslist.org/bop/d/northfield-thule-bike-rack/7472034745.html,2022-04-18 13:56,Thule bike rack,,,,,3,Thule Bike rack holds two bikes fully adjustable nice condition ready to go to a new home 175 cash,,,,,,,,,,,
30642,60.0,cleveland,https://cleveland.craigslist.org/bop/d/cleveland-brand-new-fsa-comet-1x/7448219212.html,2022-03-19 18:45,Brand new FSA COMET 1x crankset for gravel bikes,,,,,2,"Brand new FSA COMET 1x crank for gravel bikes, never used.  Crank arm length is 170mm.  retail $117 at the store:  https://shop.fullspeedahead.com/en/discipline/mtb/cranksets/mtb/comet-hd-modular-crankset-1x", new, FSA, COMET,,,,,,,,
30643,50.0,cleveland,https://cleveland.craigslist.org/app/d/elyria-power-juicer-jack-lalannes-like/7466152994.html,2022-04-18 09:43,"Power Juicer, Jack LaLanne's Like New",,,,,4,"Jack LaLanne's Power Juicer  Excellent Condition.  Stain free / Super clean.   Call me before 10 p.m. or text me anytime + I will get back to you as soon as I can. Click on the ""more ads by this user"" link to see my other listings.  I would be willing to meet with you at any of the following locations:  WALMART Supercenter, 1000 Chestnut Commons Dr, ELYRIA, OH 44035 (near North Olmsted and North Ridgeville)  McDONALDS 550 N Center St, LAGRANGE, OH 44050 (near Spencer and Oberlin)  McDONALDS 412 Main St, GRAFTON, OH 44044 (near North Olmsted and Olmsted Falls)  SAM'S CLUB, 5225 Cobblestone Rd, SHEFFIELD VILLAGE, OH 44035 (near Avon, Avon Lake and Lorain)  PLEASE TEXT OR CALL WE DON'T HAVE TIME TO WATCH FOR EMAILS. We love bikes and biking! four four zero Seven 31 forty six twenty 3.", like new, Jack LaLanne, Power Juicer,,,,,,,,
30644,950.0,cleveland,https://cleveland.craigslist.org/bik/d/chardon-2020-scott-speedster-20-disc/7472659083.html,2022-04-18 09:18,2020 Scott Speedster 20 Disc, aluminum, road, XL, 700C,13,"2020 Scott Speedster 20 Disc XL frame.  I’m 6-2 and it fits great.  Bought and ordered new May of 2020 from brecksville bike shop.  Excellent entry level or novice road bike.  I’m upgrading to carbon fiber. Don’t need two bikes.  Great all around bike on hills and flat terrain.  Summer months I put 50-80 miles a week on. New 32/700 tires front and rear.  No pedals, bag, fender, or wahoo.  Aluminum frame. Carbon Fiber Fork", excellent, Scott, Speedster 20 Disc, none (rigid), disc (mechanical), none, drop,,,,
30645,1200.0,cleveland,https://cleveland.craigslist.org/tro/d/painesville-motorcycle-trailer/7472597159.html,2022-04-18 00:02,Motorcycle trailer,,,,,2,"MFI motorcycle trailer, can haul 1 or 2 full sized bikes. Pulls very well, new tires put on last fall.   Text or call if interested", good, Mfi,,,,,, black,,,
30646,10.0,cleveland,https://cleveland.craigslist.org/bop/d/north-royalton-16-bike-tires/7460335589.html,2022-04-17 22:25,16 Bike Tires,,,,,0,,,,,,,,,,,,
